anio,sup_bosque,perdida_bosque,bosque,bosque_seco,bosque_inundable,zona_pantanosa_o_pastizal_inundable,pastizal_herbazal,otras_formaciones_no_boscosas,pasto,agricultura,mosaico_agropecuario,playa,infraestructura_urbana,otra_area_sin_vegetacion,mineria,otra_area_natural_sin_vegetacion,rio_lago_u_oceano,departamento
2011,16.0716519184138,10.082482331736896,15.937397775280463,8.405143687607614,14.120974098899108,12.288946725698285,6.9440872082295275,6.967909201801884,8.372629740224884,8.641179171197228,12.93181285535698,9.31721973360328,9.017726025696795,7.412160334945205,4.804021044733257,6.336825731146441,11.782914433515943,UCAYALI
2012,16.069055287341616,10.116813468192772,15.936510582889952,8.39840965542627,14.116511785354373,12.29523670383788,7.40184157874383,7.00033446027523,6.259581464064923,9.032170186304704,12.948378969797275,9.366831168735615,9.052750451401412,9.873440631183831,4.852030263919617,6.184148890937483,11.762025220450516,UCAYALI
2013,16.065183533298924,10.513072401305893,15.933903786228374,8.371010681238156,14.114947520191736,12.301537358848126,7.489412083508719,6.930494765951626,8.913953858894255,9.552652665079078,12.978490697513138,9.456966047437597,9.091782035852047,10.160607319405269,4.897839799950911,6.180016653652572,11.71176812696049,UCAYALI
2014,16.06173644860495,10.393234064646322,15.932836944961602,8.492900498847193,14.111269425117698,12.304971831684766,6.962243464266207,9.191157552559408,9.184304357425342,10.195522636869386,12.98123520215793,9.346094292953802,9.12423767292277,9.837187480778896,4.90527477843843,6.1675164908883415,11.75810444314505,UCAYALI
2015,16.058587741449035,10.29939917103922,15.931404802697376,8.540909718033554,14.10570023374917,7.701200180857446,8.903815211722922,9.112727543109182,9.469005495357472,10.351405324899678,13.004572591717913,9.680781405546698,9.157677719392877,9.860423463065102,4.836281906951478,6.131226489483141,11.727593197803394,UCAYALI
2016,16.05544010790428,10.295909973381765,15.930250708314388,7.186901020411631,14.100389455188935,12.317855493789365,7.217443431696533,9.084777149000837,9.691222119369101,10.712193073730345,12.999840878213021,9.502338118495565,6.889591308354466,9.853719410302007,4.812184355372417,6.091309882077698,11.730734814693736,UCAYALI
2017,16.052251160614077,10.305781638262918,15.928495912338832,7.186144304522325,14.09156377663113,12.323824569591485,9.169518377455928,9.12913031655064,9.900884166666014,10.724170060195135,13.043672921692517,9.525224101853109,9.218705288307811,9.89409356689426,4.812184355372417,6.1092475827643655,11.728641500455641,UCAYALI
2018,16.049471341544024,10.165492136941886,15.928146397107817,4.882801922586371,14.081794055272333,12.330182292575714,8.677609912822142,9.12913031655064,10.068408594649915,10.78468982173779,13.06486349350541,9.816512538521721,6.940222469119639,9.893992617974327,4.804021044733257,6.061456918928017,11.674099991162727,UCAYALI
2019,16.04535258520361,10.55520864990099,15.925872474524787,7.164720378771857,14.069494420134077,12.333255805698473,8.733916174927524,9.093806555720231,10.428068141534455,10.817896514992265,13.104985248634877,9.474779405697564,9.275285060616564,9.933483152571508,5.10594547390058,5.945420608606575,11.732599002745156,UCAYALI
2020,16.040256251218192,10.76357167628306,15.92304344219803,7.133295954896068,14.059119262154155,12.324162300840612,8.523175263093785,9.199279424616758,8.332067707289548,10.826157891374322,13.162351104019871,9.333972932421458,9.309189736018352,9.98220630724752,5.298317366548036,5.998936561946683,11.747001043333997,UCAYALI
